lifecycle_id,buyer,category,incumbent,supplier_company_id,contract_start,original_end,maximum_option_end,extensions,replacement_incumbent,replacement_confirmed_date,lead_time_days,classification,evidence_count,record_ids
רשות האכיפה והגבייה::cleaning::513640839::2012-11-05,רשות האכיפה והגבייה,cleaning,"ש.א. יובל ניהול ואחזקה בע""מ",513640839,2013-01-01,2013-12-31,2016-08-31,3,,,,B,3,536306;556126;568508
"המרכז הרפואי פדה, פוריה::cleaning::512618364::2010-01-03","המרכז הרפואי פדה, פוריה",cleaning,"אוסדה (1998) בע""מ",512618364,2010-01-03,,,0,"לבנון את קוגן בע""מ",2010-01-05,2.0,D,1,509622
מנהל המחקר החקלאי::cleaning::512967407::2010-08-09,מנהל המחקר החקלאי,cleaning,"גטר ביו-מד בע""מ",512967407,2010-08-31,2010-12-31,2010-12-31,0,"טרייטל הנדסה כימית בע""מ",2010-09-12,-110.0,A,2,514604;515153
משטרת ישראל::cleaning::513059667::2010-02-25,משטרת ישראל,cleaning,"מלינגו בע""מ",513059667,2010-02-25,,,0,"נחשול מעליות בע""מ",2010-03-02,5.0,D,1,511106
שירות בתי הסוהר::cleaning::511010985::2023-12-15,שירות בתי הסוהר,cleaning,"קבוצת אלון בע""מ",511010985,2023-12-05,2024-04-30,2024-04-30,1,,,,B,1,4000580121
"בית החולים בני-ציון,חיפה::cleaning::321858045::2019-02-15","בית החולים בני-ציון,חיפה",cleaning,לפגוב סרגיי,321858045,2019-02-15,,,0,"סנו פרופשיונל בע""מ",2021-02-08,402.0,C,2,630301;645352
מרכז למיפוי ישראל::cleaning::511386609::2009-12-13,מרכז למיפוי ישראל,cleaning,"מטאו - טק טכנולוגיות מתקדמות בע""מ",511386609,2009-12-13,,,0,בר נחום,2009-12-21,8.0,D,1,509021
"מכס ומע""מ::cleaning::אחים עובדיה::2005-10-27","מכס ומע""מ",cleaning,"חברת ""אחים עובדיה""",,2005-11-01,2006-05-30,2007-11-02,3,"התאמה השמה ומידע (1995) בע""מ",2007-07-15,-110.0,A,3,7931;8889;14171
משטרת ישראל::cleaning::512018227::2009-11-19,משטרת ישראל,cleaning,"ספקטרו (ישראל) בע""מ",512018227,2009-11-19,,,0,FTI,2010-12-26,3.0,C,2,508196;518736
מ. החינוך-חינוך התיישבותי::cleaning::510642341::2010-09-15,מ. החינוך-חינוך התיישבותי,cleaning,דוד צפניק ובניו בעמ,510642341,2010-09-15,,,0,גורדון וולף,2010-10-27,42.0,D,1,515394
משרד הרווחה::cleaning::512485566::2009-10-14,משרד הרווחה,cleaning,"שבע רכבים השקעות בע""מ",512485566,2009-10-01,2012-12-31,2012-12-31,0,"מכבסת שלג חדרה (1985) בע""מ",2012-10-29,-63.0,A,1,507232
משרד הכלכלה והתעשייה::cleaning::520040122::2009-11-12,משרד הכלכלה והתעשייה,cleaning,"נס א.ט. בע""מ",520040122,2009-11-12,,,0,,,,D,1,507950
משרד הרווחה::cleaning::511412041::2011-10-25,משרד הרווחה,cleaning,"א.א.א. אבירם בע""מ",511412041,2011-09-14,2012-03-13,2026-06-30,3,"פרח השקד בע""מ",2026-06-29,-1.0,A,3,525939;536944;4000602781
"המרכז הרפואי פדה, פוריה::cleaning::511386401::2010-02-12","המרכז הרפואי פדה, פוריה",cleaning,"פאדאגיס ישראל סוכנויות בע""מ",511386401,2010-02-12,,,0,א. צום בעמ,2011-01-20,27.0,C,2,510686;518751
מ. החינוך-חינוך התיישבותי::cleaning::513987057::2010-11-18,מ. החינוך-חינוך התיישבותי,cleaning,"מי שבע - תאגיד אזורי למים וביוב בע""",513987057,2010-11-18,,,0,"אפקון בקרה ואוטומציה בע""מ",2010-12-12,24.0,D,1,517106
"המרכז הרפואי שיבא תה""ש::cleaning::512877424::2016-01-04","המרכז הרפואי שיבא תה""ש",cleaning,"המבריק המקורי בע""מ",512877424,2016-01-25,2017-01-25,2028-08-14,0,,,,C,15,575023;575831;593137;594227;608546;622328;624603;4000529634;4000530713;4000572105;4000573848;4000605168;4000605417;4000606513;4000606839
משרד התקשורת::cleaning::510538168::2009-08-27,משרד התקשורת,cleaning,"אורד מערכות בקרה בע""מ",510538168,2009-07-01,2009-12-31,2011-06-30,2,"ארט נט אקספרטס בע""מ",2011-02-16,-134.0,A,3,506385;511281;512968
מרכז למיפוי ישראל::cleaning::510288962::2009-11-29,מרכז למיפוי ישראל,cleaning,משה שטרן ושות ציוד הנדסה בעמ,510288962,2009-11-29,,,0,"אכטמן - חברה להנדסה בע""מ",2009-12-01,2.0,D,1,508523
משרד התקשורת::cleaning::512339474::2009-02-11,משרד התקשורת,cleaning,"אדיר - הבירה בע""מ",512339474,2009-01-01,2009-05-31,2009-05-31,1,"אורד מערכות בקרה בע""מ",2009-08-27,88.0,A,1,501888
משרד האנרגיה והתשתיות::cleaning::510355720::2007-12-30,משרד האנרגיה והתשתיות,cleaning,חב המשקם לתעסוקת קשישים ובעלי כושר,510355720,2008-01-01,2008-12-31,2009-12-31,1,"א.מ שירותים מוניציפליים בע""מ",2009-07-07,-177.0,A,2,31359;33705
המרכז הרפואי וולפסון::cleaning::557655438::2010-10-24,המרכז הרפואי וולפסון,cleaning,מתכת מעין,557655438,2010-10-24,,,0,"סמל ספקים מאוחדים לישראל בע""מ",2011-03-24,21.0,C,2,516126;520774
משרד המשפטים::cleaning::510563240::2009-07-05,משרד המשפטים,cleaning,ת.ד.ל בעמ,510563240,2009-07-01,2009-12-31,2010-03-31,1,"תנה תעשיות חברה בע""מ",2010-01-31,-59.0,A,2,505320;510318
משרד העלייה והקליטה::cleaning::חב אשמורת::2006-09-19,משרד העלייה והקליטה,cleaning,חב אשמורת,,2006-10-01,2006-12-31,2006-12-31,1,,,,B,1,21201
משרד המשפטים::cleaning::511693913::2010-01-26,משרד המשפטים,cleaning,"כפיר בטחון ומיגון אלקטרוני בע""מ",511693913,2010-01-01,2010-03-31,2010-12-31,2,"מורדוך חיים קבלן לעבודות חשמל בע""מ",2010-10-12,-80.0,A,3,510317;513802;515768
מנהל המחקר החקלאי::cleaning::511243545::2009-09-03,מנהל המחקר החקלאי,cleaning,"אגנטק (1987) בע""מ",511243545,2009-09-03,2009-12-31,2010-12-31,0,"אורד מערכות בקרה בע""מ",2011-01-12,12.0,A,14,506530;506937;510724;511273;511533;511531;511932;511934;512427;512710;513070;513202;515465;516264
משרד הרווחה::cleaning::513629162::2015-11-12,משרד הרווחה,cleaning,"פסגות אתן בע""מ",513629162,2015-11-11,2015-12-31,2026-03-31,8,"פרח השקד בע""מ",2026-06-29,90.0,A,8,571713;595964;612182;618090;619117;636130;639272;4000606459
"בי""ח שמיר (אסף הרופא)::cleaning::511057606::2010-01-11","בי""ח שמיר (אסף הרופא)",cleaning,"עופר שערים אוטומטיים בע""מ",511057606,2010-02-01,2010-12-31,2011-12-31,0,"אלגריסי שרותי הנדסה (1987) בע""מ",2011-08-09,-144.0,A,4,509812;510985;518808;519521
משרד החינוך::cleaning::520034695::2011-02-02,משרד החינוך,cleaning,"וואן טכנולוגיות תוכנה בע""מ",520034695,2011-02-02,,,0,"א.נ. פאוור תקשורת ומחשבים בע""מ",2011-03-06,32.0,D,1,519948
משרד החינוך::cleaning::512062944::2011-01-04,משרד החינוך,cleaning,"מחלב פיתוח ובניה בע""מ",512062944,2011-01-01,2011-12-31,2012-06-30,3,"מ.ב.ע. חשמל וטכנולוגיה בע""מ",2013-02-03,218.0,A,3,519159;521599;527645
רשות האוכלוסין וההגירה::cleaning::513283838::2016-05-24,רשות האוכלוסין וההגירה,cleaning,"א. דינמיקה אחזקות 2002 בע""מ",513283838,2017-01-01,2017-12-31,2020-06-30,4,"רשף ניקיון ואחזקה בע""מ",2021-02-22,237.0,A,4,581005;599209;616987;633757
משרד המשפטים::cleaning::כפיר ביטחון ומיגון::2010-06-28,משרד המשפטים,cleaning,כפיר ביטחון ומיגון,,2010-07-01,2010-09-30,2010-09-30,1,מודיעין אזרחי בעמ,2010-07-08,-84.0,A,1,513658
"המרכז הרפואי פדה, פוריה::cleaning::557638020::2009-08-28","המרכז הרפואי פדה, פוריה",cleaning,עמוס גזית בע'מ,557638020,2009-08-28,,,0,"טי קיי מעליות ישראל החזקות, שותפות מו",2009-12-23,26.0,C,2,506396;508520
משרד הפנים::cleaning::520034620::2009-09-13,משרד הפנים,cleaning,"מלם - תים בע""מ",520034620,2009-09-13,,,0,מכון התקנים הישראלי-עוסק מורשה,2009-09-29,16.0,D,1,506693
"בית החולים איכילוב - ת""א::cleaning::510508260::2010-12-05","בית החולים איכילוב - ת""א",cleaning,דינקו בעמ,510508260,2010-11-01,2011-11-01,2011-11-01,0,"קוגנייט ביוסרוויסס ישראל בע""מ",2013-08-21,659.0,A,2,517854;518841
משרד הפנים::cleaning::513695197::2010-01-18,משרד הפנים,cleaning,"עין פקוחה בע""מ",513695197,2010-01-18,,,0,"תנה תעשיות חברה בע""מ",2010-01-31,13.0,D,1,510101
שירות בתי הסוהר::cleaning::520038928::2010-02-02,שירות בתי הסוהר,cleaning,"סנסטר טכנולוגיות בע""מ",520038928,2021-01-01,2022-02-28,2022-02-28,0,"קבוצת אלון בע""מ",2023-12-15,655.0,A,7,510458;510457;515321;515657;516935;4000522971;4000523576
משרד האנרגיה והתשתיות::cleaning::513073403::2013-07-31,משרד האנרגיה והתשתיות,cleaning,"או.ר.ס. שירותי רפואה 2001 בע""מ",513073403,2013-06-14,2014-06-13,2017-06-30,1,"ניהול בע""מ",2018-02-28,243.0,A,2,544185;567817
מ.האוצר - מטה החשב הכללי::cleaning::511750986::2016-12-14,מ.האוצר - מטה החשב הכללי,cleaning,"החברה הכלכלית לפתוח רמת הנגב בע""מ",511750986,2017-01-01,2041-12-31,2041-12-31,0,,,,C,1,590923
משרד האוצר::cleaning::513242495::2009-10-01,משרד האוצר,cleaning,"מסייג'נט בע""מ",513242495,2009-10-01,,,0,DATABANK,2010-11-16,14.0,C,2,507078;516509
משרד החינוך::cleaning::513559666::2018-04-24,משרד החינוך,cleaning,"אייר - סיון (2004) בע""מ",513559666,2018-04-24,2018-12-31,2021-12-31,4,"אדגר השקעות ופיתוח בע""מ",2021-11-17,-44.0,A,4,615216;624276;639805;653127
נציבות מס הכנסה::cleaning::512409541::2013-08-12,נציבות מס הכנסה,cleaning,איי אס אס,512409541,2013-09-01,2013-12-31,2013-12-31,1,מגדלי נצרת,2014-12-24,358.0,A,1,544535
משרד הבריאות::cleaning::513343947::2012-06-21,משרד הבריאות,cleaning,"קלינור אחזקה בע""מ",513343947,2015-06-27,2015-12-27,2015-12-27,1,"שלג לבן (1986) בע""מ",2015-08-25,-124.0,A,2,533031;566225
משרד להגנת הסביבה::cleaning::רשות הטבע והגנים::2014-02-09,משרד להגנת הסביבה,cleaning,רשות הטבע והגנים,,2014-02-12,2017-02-11,2017-02-11,0,,,,C,1,551428
משרד המשפטים::cleaning::511624306::2018-12-06,משרד המשפטים,cleaning,"חייל נכסים (1991) בע""מ",511624306,2018-12-01,2019-12-31,2019-12-31,1,,,,B,1,626284
משרד הבריאות::cleaning::511995284::2011-03-23,משרד הבריאות,cleaning,"בר-נש שירותי כח אדם בנגב בע""מ",511995284,2011-04-15,2011-08-14,2011-08-14,1,"קלינור אחזקה בע""מ",2012-06-21,312.0,A,1,521190
מנהל המחקר החקלאי::cleaning::520030784::2009-09-03,מנהל המחקר החקלאי,cleaning,"אי.אס.אי מיכשור מדעי לישראל בע""מ",520030784,2009-09-03,2009-12-31,2010-12-31,0,"אורד מערכות בקרה בע""מ",2011-01-12,12.0,A,4,506536;506938;515797;516334
משרד הפנים::cleaning::דינמיקה::2006-01-01,משרד הפנים,cleaning,דינמיקה,,2006-01-01,2006-01-31,2006-01-31,1,מרחב,2006-05-11,100.0,A,1,8632
הנהלת בתי הדין הרבניים::cleaning::512339474::2018-11-29,הנהלת בתי הדין הרבניים,cleaning,"אדיר - הבירה בע""מ",512339474,2019-01-01,2019-12-31,2023-12-31,2,"א.נ קשת אחזקות בע""מ",2024-11-04,309.0,A,4,625590;642588;4000563260;4000570483
משרד הכלכלה והתעשייה::cleaning::513343947::2019-01-10,משרד הכלכלה והתעשייה,cleaning,"קלינור אחזקה בע""מ",513343947,2019-02-15,2020-02-14,2020-02-14,1,,,,B,1,628575
משרד החינוך::cleaning::512734195::2009-11-26,משרד החינוך,cleaning,בני טל שיווק פתרונות תוכנה (1999) ב,512734195,2009-11-26,,,0,"ב.א.ת.ל. טכנולוגיה מתקדמת (98) בע""מ",2009-12-08,12.0,D,1,508490
רשות האכיפה והגבייה::cleaning::510984578::2010-08-02,רשות האכיפה והגבייה,cleaning,"תורמט מערכות אלקטרוניות בע""מ",510984578,2010-08-01,2010-07-31,2010-07-31,0,"כלליר תפעול ואחזקה בע""מ",2011-03-14,226.0,A,2,514463;515007
משרד להגנת הסביבה::cleaning::512112228::2014-05-26,משרד להגנת הסביבה,cleaning,"פאוזה שירותי קפה בע""מ",512112228,2014-06-26,2017-06-25,2017-06-25,0,,,,C,2,554425;555257
משרד המשפטים::cleaning::520031055::2014-04-01,משרד המשפטים,cleaning,"אגודת השומרים בע""מ",520031055,2014-03-16,2015-01-31,2015-01-31,1,,,,B,1,553022
מרכז למיפוי ישראל::cleaning::9111279::2009-12-13,מרכז למיפוי ישראל,cleaning,אברהם שלו,9111279,2009-12-13,,,0,בר נחום,2009-12-21,8.0,D,1,509022
רשות מקרקעי ישראל::cleaning::510584030::2018-07-29,רשות מקרקעי ישראל,cleaning,"עמיאש מפעל לקליטה, מיון ופינוי פסול",510584030,2018-03-01,2018-12-31,2018-12-31,0,"טווס שמירה אבטחה ושרותי ניקיון בע""מ",2020-01-20,385.0,A,1,619795
רשות המים::cleaning::קקל + רשות ניקוז כנרת::2010-11-21,רשות המים,cleaning,"קק""ל + רשות ניקוז כנרת",,2010-12-01,2012-12-31,2012-12-31,1,"שומרון שרותי נקיון, שמירה וכח אדם (",2012-11-14,-47.0,A,1,517163
משרד להגנת הסביבה::cleaning::רשות ניקוז ונחלים::2007-03-20,משרד להגנת הסביבה,cleaning,רשות ניקוז ונחלים,,2007-04-01,2007-06-30,2007-06-30,0,מנהלת הכינרת,2007-07-24,24.0,A,1,26424
"רוה""מ::cleaning::512213653::2009-10-26","רוה""מ",cleaning,"ה.די.אס. מערכות בע""מ",512213653,2009-10-26,,,0,מוטורולה סולושנס ישראל בע'מ,2009-12-01,36.0,D,1,507476
שירות בתי הסוהר::cleaning::510789464::2009-09-13,שירות בתי הסוהר,cleaning,"מגאסון אלקטרוניקה ובקרה 1978 בע""מ",510789464,2009-09-13,,,0,"סער הדברות בע""מ",2012-02-07,357.0,C,7,506708;506871;507151;510658;512365;512370;520275
משרד להגנת הסביבה::cleaning::520036450::2010-07-29,משרד להגנת הסביבה,cleaning,"החברה לשירותי איכות הסביבה בע""מ",520036450,2010-08-04,2011-07-31,2011-07-31,1,מכון מילקין,2011-02-02,-179.0,A,2,514366;514709
משרד החקלאות ובטחון המזון::cleaning::500701610::2014-11-25,משרד החקלאות ובטחון המזון,cleaning,אוניברסיטה העברית,500701610,2014-11-25,2015-12-31,2015-12-31,0,החברה להגנת הטבע,2015-12-22,-9.0,A,2,560521;561614
"רוה""מ::cleaning::511012866::2009-09-10","רוה""מ",cleaning,"בינת יישום מערכות בע""מ",511012866,2009-10-23,2010-08-22,2011-08-03,3,הדר סוכנויות לצורכי צילום בעמ,2011-03-13,-143.0,A,5,506650;514512;515716;516288;516294
"המרכז הרפואי ע""ש ברזילי::cleaning::511596298::2011-04-05","המרכז הרפואי ע""ש ברזילי",cleaning,"כט- טכנולוגיות בע""מ",511596298,2011-04-05,,,0,,,,D,1,521526
משרד החקלאות ובטחון המזון::cleaning::580017499::2015-12-22,משרד החקלאות ובטחון המזון,cleaning,החברה להגנת הטבע,580017499,2015-12-22,2016-12-31,2018-06-30,0,,,,C,6,574122;574500;578170;580241;598113;598912
משרד החקלאות ובטחון המזון::cleaning::520040023::2010-09-19,משרד החקלאות ובטחון המזון,cleaning,טוטנאור בעמ,520040023,2010-09-19,,,0,"אלדן ציוד אלקטרוני בע""מ",2010-10-24,35.0,D,1,515454
משרד החינוך::cleaning::511854440::2009-12-30,משרד החינוך,cleaning,"ה.מ.ס הלפרין יועצים בע""מ",511854440,2009-12-30,2010-01-31,2010-01-31,0,"קל חן ניהול ואחזקות בע""מ",2010-01-28,-3.0,A,1,509558
