lifecycle_id,buyer,category,incumbent,supplier_company_id,contract_start,original_end,maximum_option_end,extensions,replacement_incumbent,replacement_confirmed_date,lead_time_days,classification,evidence_count,record_ids
משטרת ישראל::cleaning::511343865::2010-05-30,משטרת ישראל,cleaning,"איסטרוניקס בע""מ",511343865,2010-05-30,,,0,מפעיל בעמ - אילת,2010-06-17,18.0,D,1,512958
משטרת ישראל::cleaning::511468845::2009-08-04,משטרת ישראל,cleaning,"היטאצ'י ונטרה ישראל בע""מ",511468845,2009-08-04,,,0,"שיא ""10"" בע""מ",2009-09-07,34.0,D,1,505873
"בי""ח שמיר (אסף הרופא)::cleaning::510848690::2009-07-29","בי""ח שמיר (אסף הרופא)",cleaning,"אלדן ציוד אלקטרוני בע""מ",510848690,2009-08-12,2009-08-31,2011-08-18,0,"גומלא סימולציות כלכליות ישראל בע""מ",2011-02-20,-179.0,A,5,505778;505814;506054;514447;514949
המרכז הרפואי וולפסון::cleaning::511221707::2010-12-16,המרכז הרפואי וולפסון,cleaning,"סביון תעשיות 1987 בע""מ",511221707,2010-12-16,,,0,"אלקטרה בקרה ותקשורת בע""מ",2011-01-11,26.0,D,1,518392
הנהלת בתי משפט::cleaning::520043340::2009-11-15,הנהלת בתי משפט,cleaning,"אפקון בקרה ואוטומציה בע""מ",520043340,2010-01-01,2010-12-31,2011-12-31,0,אפרים אריה,2011-12-29,-2.0,A,5,507997;511801;518690;520188;520859
משרד החקלאות ובטחון המזון::cleaning::511404857::2009-11-16,משרד החקלאות ובטחון המזון,cleaning,"פרדיקטה דטה (1989) בע""מ",511404857,2009-11-16,,,0,"שלג לבן (1986) בע""מ",2009-12-08,22.0,D,1,508080
"מר""ג שמואל הרופא::cleaning::510953904::2018-05-09","מר""ג שמואל הרופא",cleaning,"קימברלי קלארק ישראל שיווק בע""מ",510953904,2018-05-09,,,0,,,,D,1,615976
מנהל המחקר החקלאי::cleaning::510021884::2010-09-19,מנהל המחקר החקלאי,cleaning,"לבנט טכנולוגיות בע""מ",510021884,2010-10-15,2010-12-31,2010-12-31,0,"אורד מערכות בקרה בע""מ",2011-01-12,12.0,A,4,515463;516185;516261;517122
משטרת ישראל::cleaning::512667239::2010-11-24,משטרת ישראל,cleaning,"סינריון מערכות בע""מ",512667239,2010-11-24,,,0,"מגם בטיחות בע""מ",2010-12-07,13.0,D,1,517424
משרד האוצר::cleaning::520044041::2009-11-09,משרד האוצר,cleaning,"מלם מערכות בע""מ",520044041,2009-11-09,,,0,בזק בינלאומי,2010-12-26,32.0,C,2,507821;517417
המרכז הרפואי וולפסון::cleaning::510129950::2010-07-18,המרכז הרפואי וולפסון,cleaning,המיכל תעשית דודים בעמ,510129950,2010-07-18,,,0,טבע תעשיות פרמצבטיות,2010-07-21,3.0,D,1,514055
משטרת ישראל::cleaning::מוקד יסעור::2014-05-08,משטרת ישראל,cleaning,מוקד יסעור,,2014-06-15,2014-12-31,2015-04-01,2,,,,B,2,553944;562139
"רוה""מ::cleaning::557424835::2010-10-06","רוה""מ",cleaning,האחים כליף,557424835,2010-08-08,2010-08-12,2013-05-13,2,עיריית ירושלים,2014-04-07,329.0,A,3,515712;515713;539526
"המרכז הרפואי פדה, פוריה::cleaning::511718413::2009-08-25","המרכז הרפואי פדה, פוריה",cleaning,"ישומי בקרה (י.ב.) בע""מ",511718413,2009-08-25,,,0,נירוסופט סחר (1987),2010-10-29,79.0,C,2,506332;514722
רשות מקרקעי ישראל::cleaning::512706474::2018-01-31,רשות מקרקעי ישראל,cleaning,"מובילי הר הנגב בע""מ",512706474,2018-01-31,,,0,"פירוט בהתאם לטבלה המצ""ב",2018-03-15,43.0,D,1,611565
המשרד לבטחון לאומי::cleaning::513184267::2011-03-07,המשרד לבטחון לאומי,cleaning,בית אלפא  טכנלוגיות,513184267,2011-03-07,,,0,ברק גדעון שירותי ניקיון,2012-12-05,639.0,D,1,520856
משרד החקלאות ובטחון המזון::cleaning::511444283::2011-12-06,משרד החקלאות ובטחון המזון,cleaning,"חברה לפיתוח ולבנין בערבה בע""מ",511444283,2011-12-06,2012-12-31,2021-12-31,0,,,,C,6,527648;528253;547136;548243;4000523212;4000526203
שירות בתי הסוהר::cleaning::557679693::2009-09-30,שירות בתי הסוהר,cleaning,"קיבוץ מגידו-מגידו עסקים אגש""ח",557679693,2009-09-30,,,0,מגאסון אלקטרוניקה ובקר,2009-11-08,39.0,D,1,507034
"המרכז הרפואי שיבא תה""ש::cleaning::511563744::2009-12-16","המרכז הרפואי שיבא תה""ש",cleaning,"בקטלאב דיאגנוסטיקה בע""מ",511563744,2009-12-16,,,0,"ארדון ציוד רפואי בע""מ",2009-12-20,4.0,D,1,509150
המרכז הרפואי וולפסון::cleaning::511397259::2010-02-07,המרכז הרפואי וולפסון,cleaning,"סוילקו בע""מ",511397259,2010-02-07,,,0,שמרלינג סינכרו הנדסת אנרגיה,2010-02-14,7.0,D,1,510543
שירות בתי הסוהר::cleaning::510286826::2010-11-16,שירות בתי הסוהר,cleaning,"רמ - טל בע""מ",510286826,2010-11-16,,,0,"יעד בטיחות חברה למסחר והנדסה בע""מ",2010-12-02,16.0,D,1,517022
מרכז למיפוי ישראל::cleaning::557650652::2017-02-14,מרכז למיפוי ישראל,cleaning,שמיר י. איתן)0991(בעמ,557650652,2017-02-14,,,0,"התאמה השמה ומידע (1995) בע""מ",2018-10-04,597.0,D,1,594235
הנהלת בתי הדין הרבניים::cleaning::511581324::2009-09-10,הנהלת בתי הדין הרבניים,cleaning,"תנה תעשיות חברה בע""מ",511581324,2009-09-10,,,0,"ג.ב. מערכות בינריות משולבות בע""מ",2009-10-01,21.0,D,1,506652
משרד האוצר::cleaning::513358358::2010-01-07,משרד האוצר,cleaning,"אס אר אל סופטוואר סולושנס בע""מ",513358358,2010-01-07,,,0,"מטריקס אי.טי. שרותי תוכנה בע""מ",2010-02-03,27.0,D,1,509770
משרד החינוך::cleaning::511009342::2009-12-09,משרד החינוך,cleaning,"היולט-פקרד (ישראל) בע""מ",511009342,2009-12-09,,,0,"נתון תפעול ואחזקה בע""מ",2011-01-04,69.0,C,2,508956;516326
המרכז הרפואי וולפסון::cleaning::512594698::2010-03-28,המרכז הרפואי וולפסון,cleaning,"תדיראן אנרג'י בע""מ",512594698,2010-03-28,,,0,"החברה לשירותי איכות הסביבה בע""מ",2010-05-11,15.0,C,3,511824;511973;512212
משרד הפנים::cleaning::520028911::2009-11-23,משרד הפנים,cleaning,"אלקטרה בע""מ",520028911,2010-01-01,2010-12-31,2011-12-31,0,"טי אנד אם שירותי ניקיון בע""מ",2013-01-17,383.0,A,5,508304;511526;514993;519687;520731
משרד האוצר::cleaning::512291642::2010-09-01,משרד האוצר,cleaning,"פאלו אלטו נטוורקס בע""מ",512291642,2010-09-01,,,0,בזק בינלאומי,2010-12-26,3.0,C,2,515174;518749
משרד הרווחה::cleaning::511315368::2009-11-22,משרד הרווחה,cleaning,"ג'יניוס 11 מערכות בע""מ",511315368,2009-11-22,,,0,לוג און,2010-10-10,4.0,C,2,508287;515707
"המרכז הרפואי שיבא תה""ש::cleaning::557974797::2010-01-13","המרכז הרפואי שיבא תה""ש",cleaning,"סומת טכנולוגיות בע""מ",557974797,2010-01-13,,,0,"ג'י אי מדיקל סיסטמס ישראל בע""מ",2010-01-26,13.0,D,1,509957
משרד האוצר::cleaning::ספקי שירות תחזוקה למחשבים וציוד היק::2009-06-14,משרד האוצר,cleaning,ספקי שירות תחזוקה למחשבים וציוד היק,,2009-07-31,2010-03-31,2011-12-31,3,"ר.א.פ. שרותי נקיון ואחזקה בע""מ",2011-11-08,-53.0,A,3,505049;511321;521010
המרכז הרפואי וולפסון::cleaning::510469893::2011-03-24,המרכז הרפואי וולפסון,cleaning,"עמוס גזית בע""מ",510469893,2011-03-24,,,0,,,,D,1,521233
הנהלת בתי משפט::cleaning::511012866::2009-11-15,הנהלת בתי משפט,cleaning,"בינת יישום מערכות בע""מ",511012866,2010-01-01,2010-12-31,2011-12-31,0,אפרים אריה,2011-12-29,-2.0,A,4,507975;511782;518689;519547
משטרת ישראל::cleaning::557613544::2010-03-22,משטרת ישראל,cleaning,בית אלפא,557613544,2010-03-22,,,0,"גולדטק טכנולוגיות בע""מ",2010-04-14,23.0,D,1,511698
"המרכז הרפואי שיבא תה""ש::cleaning::511053118::2011-02-06","המרכז הרפואי שיבא תה""ש",cleaning,"ברסלויער בע""מ",511053118,2011-02-06,,,0,"סומת אינטגרציה בע""מ",2011-02-15,9.0,D,1,520034
משטרת ישראל::cleaning::512994054::2010-12-14,משטרת ישראל,cleaning,"טרקטורים וציוד(אי. טי. אי.) בע""מ",512994054,2010-12-14,,,0,SRL,2010-12-20,6.0,D,1,518247
שירות בתי הסוהר::cleaning::514114289::2014-02-05,שירות בתי הסוהר,cleaning,"החברה לניהול קריית הממשלה רמלה בע""מ",514114289,2014-02-05,,,0,"מוריה שרותי נקיון אחזקה ושמירה בע""מ",2014-03-19,42.0,D,1,551309
המשרד לבטחון לאומי::cleaning::512686114::2018-07-26,המשרד לבטחון לאומי,cleaning,"מחצית היובל בע""מ",512686114,2018-07-26,,,0,"שמיר י. איתן (1990) בע""מ",2019-10-02,433.0,D,1,619749
"בי""ח שמיר (אסף הרופא)::cleaning::512494097::2018-11-23","בי""ח שמיר (אסף הרופא)",cleaning,"דיברסי ישראל בע""מ",512494097,2018-11-23,,,0,,,,D,1,625176
הנהלת בתי משפט::cleaning::511490476::2010-12-26,הנהלת בתי משפט,cleaning,"שמיר י. איתן (1990) בע""מ",511490476,2011-01-01,2011-03-31,2011-03-31,2,שמד צפון,2010-12-27,-94.0,A,2,518775;518782
"המרכז הרפואי שיבא תה""ש::cleaning::512521501::2010-12-27","המרכז הרפואי שיבא תה""ש",cleaning,"טי.איי. פתרונות (ישראל) בע""מ",512521501,2010-12-27,,,0,דינקו בעמ,2011-01-09,13.0,D,1,518852
המרכז הרפואי וולפסון::cleaning::557102795::2010-08-02,המרכז הרפואי וולפסון,cleaning,אקולאב -זהר דליה,557102795,2010-08-02,,,0,"לבנט טכנולוגיות בע""מ",2010-09-06,35.0,D,1,514451
המרכז הרפואי וולפסון::cleaning::511201683::2014-10-28,המרכז הרפואי וולפסון,cleaning,סיגמא יבואני חומרי נקוי וציוד מקצוע,511201683,2015-01-01,2015-12-31,2018-12-31,0,,,,C,11,559030;565214;573609;576038;583947;584022;584080;585019;589477;593284;612002
משרד האוצר::cleaning::512656125::2009-08-02,משרד האוצר,cleaning,"קרדיט גארד בע""מ",512656125,2009-09-13,2010-09-13,2011-09-13,0,"ר.א.פ. שרותי נקיון ואחזקה בע""מ",2011-11-08,56.0,A,8,505806;506311;506699;514719;514840;515021;517419;520485
"המרכז הרפואי פדה, פוריה::cleaning::510511207::2009-08-27","המרכז הרפואי פדה, פוריה",cleaning,"טבע מדיקל בע""מ",510511207,2009-08-27,,,0,"רניום ציוד למעבדות מחקר בע""מ",2009-08-28,1.0,D,1,506371
"המרכז הרפואי שיבא תה""ש::cleaning::510097272::2011-02-17","המרכז הרפואי שיבא תה""ש",cleaning,אחים איזנברג בעמ,510097272,2011-02-17,,,0,מוטורולה סולושנס ישראל בע'מ,2011-02-23,6.0,D,1,520332
"המרכז הרפואי שיבא תה""ש::cleaning::510021884::2011-02-17","המרכז הרפואי שיבא תה""ש",cleaning,"לבנט טכנולוגיות בע""מ",510021884,2011-02-17,,,0,מוטורולה סולושנס ישראל בע'מ,2011-02-23,6.0,D,1,520335
משרד הבריאות::cleaning::511540460::2022-03-02,משרד הבריאות,cleaning,"קבוצת ש. ניר מערכות ביטחון,תחזוקה ו",511540460,2022-03-02,2023-02-28,2023-12-15,5,"א.מ שירותים מוניציפליים בע""מ",2024-02-04,51.0,A,5,4000549567;4000559218;4000566095;4000571702;4000575091
"המרכז הרפואי פדה, פוריה::cleaning::511241804::2009-08-27","המרכז הרפואי פדה, פוריה",cleaning,"אבידור מכשירים דנטליים ורפואיים בע""",511241804,2009-08-27,,,0,"רניום ציוד למעבדות מחקר בע""מ",2009-08-28,1.0,D,1,506373
משרד האוצר::cleaning::511072399::2009-08-23,משרד האוצר,cleaning,"מטריקס אי.טי. מוצרי תוכנה בע""מ",511072399,2009-08-23,,,0,"יוניפורט בע""מ",2009-08-26,3.0,D,1,506310
